transaction_id,source,target,amount_SAT,success,path_length,routing_fee,route,failure_reason
0,022d509049e143b1c5fc5383210acb97a3e5a4b0e0d31dd4c920eee92a4aacd312,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,10000,True,3.0,0.28,022d509049e143b1c5fc5383210acb97a3e5a4b0e0d31dd4c920eee92a4aacd312|026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5|0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6|0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,
1,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,035830c16ebd9791379d05ee2e17053bb599d760cd5e2d2692c6bc96a3d8c50680,10000,True,2.0,0.01,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f|03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f|035830c16ebd9791379d05ee2e17053bb599d760cd5e2d2692c6bc96a3d8c50680,
2,034a0fa8e6d83688f3e19c2bcb93fb9d6f366d6c937dbc3c744cb21db6e093958b,02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,10000,True,2.0,0.01,034a0fa8e6d83688f3e19c2bcb93fb9d6f366d6c937dbc3c744cb21db6e093958b|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,
3,02de6e98fa0857866c5bd7edfd6f798818a925795d844a1de97196d15bcc11728a,02059220fa2153fb6d7768d7d67c6b86f441f83b7046aea492f2018f7b800edfa9,10000,True,3.0,1.02,02de6e98fa0857866c5bd7edfd6f798818a925795d844a1de97196d15bcc11728a|02ae3c06f6db6a87ea874ef7ba86c87ab0041eabf6d8be0594582505b1fd5d7ee8|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|02059220fa2153fb6d7768d7d67c6b86f441f83b7046aea492f2018f7b800edfa9,
4,02dca93a2c161cde48b1d06e66b994fab01430477336f95f57bd0da25686a2b4a7,036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8,10000,True,2.0,1.01,02dca93a2c161cde48b1d06e66b994fab01430477336f95f57bd0da25686a2b4a7|031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403|036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8,
5,03b49e64e9bce0de005d774c3fbe39dcafd9ce96b6c8ffaaf3a1e111d4f9554e2e,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,10000,True,3.0,1.02,03b49e64e9bce0de005d774c3fbe39dcafd9ce96b6c8ffaaf3a1e111d4f9554e2e|036ac04a69f2ab587fd83c4f2aca255a81f138276fbca344ac3ecfae28d733be56|020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b|0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,
6,022bcd7248336b3853aac0c2a952cef25ec8ec53a79a5bd39a984b5be41c29f8b3,032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,10000,False,,,,no_liquidity_feasible_path
7,035ee4232e84202c4c7a70f479beba74a424b7ee6235123400071844fa2efedd7e,025cb2d324ae423d32984c7fc74edd7185b9fc9bd473d389f12483e3738d526600,10000,True,2.0,0.01,035ee4232e84202c4c7a70f479beba74a424b7ee6235123400071844fa2efedd7e|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|025cb2d324ae423d32984c7fc74edd7185b9fc9bd473d389f12483e3738d526600,
8,02655822e2b03f889c83b5ce23b0951ee077c206a5e588efe331c8197c207dbd1c,028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,10000,False,,,,no_liquidity_feasible_path
9,0230465203e24e014c0879067908f24cee03ef708e5a1b6fa1c2f816c6a5d41edf,0370761071dcec0c81529414b7b9ebdb7652267797fd7a89b63ef1c0b7f9c2e147,10000,True,2.0,1.01,0230465203e24e014c0879067908f24cee03ef708e5a1b6fa1c2f816c6a5d41edf|0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c|0370761071dcec0c81529414b7b9ebdb7652267797fd7a89b63ef1c0b7f9c2e147,
10,030dff591fa1b0b4f9e31f4ef595624d6bf0e55a51bbb6949fe337de19c4033c1a,02b3877314aff657216ceac039244fe94e7116af10cfffac0232fefa5903c62a58,10000,True,2.0,0.01,030dff591fa1b0b4f9e31f4ef595624d6bf0e55a51bbb6949fe337de19c4033c1a|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|02b3877314aff657216ceac039244fe94e7116af10cfffac0232fefa5903c62a58,
11,03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73,03a8355790b89f4d96963019eb9413b9a2c884691837ac976bacfe25a5212892d7,10000,True,3.0,0.02,03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73|03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|03a8355790b89f4d96963019eb9413b9a2c884691837ac976bacfe25a5212892d7,
12,0371298f688c33cecd4ccd3d008a32ec750124088945c0f2619fdb5797ba32993a,031f8400b123834edd5736de9aac14ec0d77c11bff27f5a6eb0da5f6ce66ef0975,10000,False,,,,no_liquidity_feasible_path
13,037f84a98839eac98e581551b5d6bc062b7140ab54626c0a3d9f859f698c8c87eb,039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400,10000,True,5.0,2.04,037f84a98839eac98e581551b5d6bc062b7140ab54626c0a3d9f859f698c8c87eb|02396bf51e81f8f67eaca3652271b4fe8d3f57bedb9578af711606391c5c66760e|021802799027508e8a8bf9a0ab96ea78a6a995926a0b1310561a74375a06e14de9|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6|039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400,
14,0367e072b7b6e40e5df3fbf8701bf1bc7efce021a5702dac7d0a9be7bb59f1f01c,0217383b5f11169456f10d32b4474f2806de64cbd60b42512cc42c1f769f41ac8d,10000,False,,,,no_liquidity_feasible_path
15,038da548264b3bd6991c03bdf1300cb515bb5b39ed3cb017f8ecc2a47467bb7fb4,03cac8425d15440dec66f7a86155f2f457301aa434a6abdb82af2252ef477e7eb0,10000,True,2.0,1.01,038da548264b3bd6991c03bdf1300cb515bb5b39ed3cb017f8ecc2a47467bb7fb4|0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c|03cac8425d15440dec66f7a86155f2f457301aa434a6abdb82af2252ef477e7eb0,
16,030749bbd76337596c349fa76b1d47ac7190aa1271a92f1cd0ba025f5d7b1810f8,036a33e92cda2679ac91ac0467acb1ba33396c0df1119521653e0f269c275dd6bf,10000,False,,,,no_liquidity_feasible_path
17,023e6cb005e98137ec507aa64eb7f7049ccf246b4fca4d169f7c8ac8d3f856193c,03a4f54826a6076793fdde0a20bb693f961186972985d2885021642800468ce4bc,10000,True,4.0,9.02,023e6cb005e98137ec507aa64eb7f7049ccf246b4fca4d169f7c8ac8d3f856193c|02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|032271efcb35188ef00e3f28469a2bb18b50a5f2f325bd130bdac341af24e9b5f0|03a4f54826a6076793fdde0a20bb693f961186972985d2885021642800468ce4bc,
18,03aa434d9ff5d5470033aa654f201dbbdce79955c61e9e48a6674d203ae3b689f5,023c1f3d0efc623da2829a41426b324245133f99840363435c2e98086de3494bb7,10000,False,,,,no_liquidity_feasible_path
19,02e51b3be5a4bad8a117e564aa30afe0f27c144f416270d839e8f8c2fccb3d41de,021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,10000,True,2.0,1.01,02e51b3be5a4bad8a117e564aa30afe0f27c144f416270d839e8f8c2fccb3d41de|0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961|021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,
20,030185cb3511bdf8077688b33573a699e0d73d25e6cab6685309a661d323fb0aa8,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,10000,False,,,,no_liquidity_feasible_path
21,02be74b7d8233ddebe1e4d6d76b7887706f091653c7b84abc4a9ee9fcdd4e9512f,023c1f3d0efc623da2829a41426b324245133f99840363435c2e98086de3494bb7,10000,True,3.0,1.02,02be74b7d8233ddebe1e4d6d76b7887706f091653c7b84abc4a9ee9fcdd4e9512f|0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|023c1f3d0efc623da2829a41426b324245133f99840363435c2e98086de3494bb7,
22,025a625a9aa3d7c2f9a7eaa6bdb2278200b2871d35d51ab1e5bc8979078e9e1036,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,10000,False,,,,no_liquidity_feasible_path
23,03db61876a9a50e5724048170aeb14f0096e503def38dc149d2a4ca71efd95a059,0256812a1cb2539a5500f3c1c20db5ed7626e3878a552e3356c032c7bec2b3060e,10000,True,2.0,1.01,03db61876a9a50e5724048170aeb14f0096e503def38dc149d2a4ca71efd95a059|03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d|0256812a1cb2539a5500f3c1c20db5ed7626e3878a552e3356c032c7bec2b3060e,
24,038b6c53bb600a5248c997bf9bdfcda8cba4cf2d883203f2c7eef0823c7c249b0e,02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,10000,False,,,,no_liquidity_feasible_path
25,03465ae381147f7a13763c189409d1f251e9181f5c063440e5e7cb177c0a8ab99f,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,10000,True,2.0,5.5,03465ae381147f7a13763c189409d1f251e9181f5c063440e5e7cb177c0a8ab99f|03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed|0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,
26,02ccd31a1d5c35f873b7d7205d236d4e0f7cab201d9e76fed1db8db32a63a1732e,03c4bb19c3a388d790968328b0f0d187a1a28597d3ad082200a47baadfdb6aee8d,10000,False,,,,no_liquidity_feasible_path
27,03a20c0c2ae4508b669a70e5f82f08f69a3da5da3bf0c973673c3fe977db0f61e3,0384417e479afb21bff425f467382f9c064ac08bd422ea36542fa6799e026d77e6,10000,False,,,,no_liquidity_feasible_path
28,0316b982b7d9f09f8b83797dedf56268adc462a97f1b80189c999aad35ea73cb14,032060a40a94dc7b848d02314e4ccebe20f451dc87f28c1ed685caa58bfcc3989a,10000,False,,,,no_liquidity_feasible_path
29,02e0742d2acb105f0d68a285419b3334c89cac6a1c97c98b7845c3428b6d74b9cf,038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,10000,False,,,,no_liquidity_feasible_path
30,02e51b3be5a4bad8a117e564aa30afe0f27c144f416270d839e8f8c2fccb3d41de,039026382473c677f291d6a16b8b6b5af02813cc018336330fc3f34828f3d8d062,10000,True,3.0,1.02,02e51b3be5a4bad8a117e564aa30afe0f27c144f416270d839e8f8c2fccb3d41de|0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961|03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d|039026382473c677f291d6a16b8b6b5af02813cc018336330fc3f34828f3d8d062,
31,02711ca443a9ba88ad684e07c00dd3cf973f613da206ee15606b9e8ec40a62629d,0384417e479afb21bff425f467382f9c064ac08bd422ea36542fa6799e026d77e6,10000,True,5.0,1.04,02711ca443a9ba88ad684e07c00dd3cf973f613da206ee15606b9e8ec40a62629d|032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada|02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96|037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420|03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258|0384417e479afb21bff425f467382f9c064ac08bd422ea36542fa6799e026d77e6,
32,022f3bfa1de8491bad95ea018b17d47efbfe713cd2da59ad5fc380198612b8954a,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,10000,True,4.0,0.031,022f3bfa1de8491bad95ea018b17d47efbfe713cd2da59ad5fc380198612b8954a|02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0|0269b91661812bae52280a68eec2b89d38bf26b33966441ad70aa365e120a125ff|02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff|0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,
33,031c0ebb43b96dc3a2faec637876cb098244a234d604ddb8d415410bc20f54b443,03ed88bb37c8c53c509d9a355e5a103614ebd30c98b7895ea4ccaddee262db190d,10000,False,,,,no_liquidity_feasible_path
34,03c63e8146aba2eda617489e08ae0fbe08d54e686c0f296d697c33cd67de4acc08,0204e5a5ff14b090c1210cb99e7e616f840e0ef1b08fc9a268d13b7a2e5e997845,10000,True,3.0,2.022,03c63e8146aba2eda617489e08ae0fbe08d54e686c0f296d697c33cd67de4acc08|028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675|03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601|0204e5a5ff14b090c1210cb99e7e616f840e0ef1b08fc9a268d13b7a2e5e997845,
35,021f0dd54978ed85595a9d60c311cd435d0dcdf46d7fb090ee4280e66cabbce645,030f5bd59457dba436dfdebceebcc3206ac8dfcd40bb1a616942253c3fcc5be174,10000,True,3.0,1.02,021f0dd54978ed85595a9d60c311cd435d0dcdf46d7fb090ee4280e66cabbce645|023f5e3582716bed96f6f26cfcd8037e07474d7b4743afdc8b07e692df63464d7e|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|030f5bd59457dba436dfdebceebcc3206ac8dfcd40bb1a616942253c3fcc5be174,
36,03b49e64e9bce0de005d774c3fbe39dcafd9ce96b6c8ffaaf3a1e111d4f9554e2e,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,10000,True,2.0,1.01,03b49e64e9bce0de005d774c3fbe39dcafd9ce96b6c8ffaaf3a1e111d4f9554e2e|036ac04a69f2ab587fd83c4f2aca255a81f138276fbca344ac3ecfae28d733be56|02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,
37,03a46be38d068c2bc5af3fc13da840790ed5643f3d6d27e5e34d67ed2aec16ce67,032368258aad451e2c70c76d86b194001240f3a2cdff651e57ccbc473ade84a0a4,10000,True,6.0,1.239,03a46be38d068c2bc5af3fc13da840790ed5643f3d6d27e5e34d67ed2aec16ce67|0360e94b6a5ba69e9349ea1077890b6384a4b9e6368e100316d85e22a534f552a8|03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d|03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba|0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131|02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432|032368258aad451e2c70c76d86b194001240f3a2cdff651e57ccbc473ade84a0a4,
