pair_rank,node_a,node_b,pair_edge_betweenness,directions_present,aggregated_capacity
1,0380353680be52e164e49d0e986cb4601993aae7bb15d71ecced966fa1a0f08f52,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0.0052040816326530655,2,225000
2,023a527903368146b49d4291db6a829b27f32c2ee22b0f5872c7873a287db1978d,03c492f46d8e0a6256bb9c5c42f2aed24717f70a3f39e0961419dee511688e3110,0.005204081632653065,2,375000
3,0214b87e06039a44b5a23580f0e2f801b913fe9e3dc29169419f5eed15e449e9d3,03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,0.005204081632653063,2,1999000
4,02b7db5c2597a3d7dac8ece0df0d8dd2a7727d53d84583555be3402ccd17776392,03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,0.005204081632653063,2,1232000
5,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,03c043906b71a4dea9146b1fe2d2c87b3e595dd9437a355efc15fb3a40b0dc2e02,0.005204081632653063,2,130933
6,025d5dcdb0f9c4601b59a1f676a5a2b1dff09d0c83ed9afff12d712f234eb0c7ab,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,0.005204081632653062,2,300000
7,0309709cd691972970dc2e30a15c928597b629742d5ad45a7f7d96b5184d9d3d46,03f8ab9b7496be92ce370e0224661d5d2de80bca8f505d66f1226d0e6002007d2a,0.005204081632653062,2,50000
8,02266bd5c5c889f0a44ddc43aeb1b503e3a7c3ba18dfb64bfdbcfa310bc73cf80d,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.005204081632653061,2,1000000
9,02711ca443a9ba88ad684e07c00dd3cf973f613da206ee15606b9e8ec40a62629d,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,0.005204081632653061,2,200000
10,027135bde95583d9bc9660075fbbbc2e298ed8217f67106c4fb507d2f2cd04d2bb,02a0bc43557fae6af7be8e3a29fdebda819e439bea9c0f8eb8ed6a0201f3471ca9,0.005204081632653061,2,20000
11,02d3aeee78423cf672c7ebfca94f8a0781c5bb83b8348f65c17370833f9d5a58be,031157d786ca2fb7b86f330366db3e0bb6925b336d285ed40705976eaa68ead610,0.005204081632653061,2,400000
12,03f6b29863195dc6c9cb156aac59e7356171bbe0e6fbe52e085a32392ab985db16,03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,0.005204081632653061,2,600000
13,02b646d30ed97b4e1a247f74805bd2bb5b5059151aa6842c3d8a02fda13be236a6,03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0,0.00520408163265306,2,1000000
14,02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,0320be91d3e5dbb7fcf8fc0328ad56423c8487c2ee6179fc931467132a489b6071,0.00520408163265306,2,150000
15,034e2d76ccc789e7a79c4fc395a1f5810d614a361df7daf0b4647f976eae932d4f,03fafb88f3da97ed0cf8c02444cc5660f657cf80087a646ebb4f760f49ee4cf905,0.00520408163265306,2,1490198
16,0392600bfeb472a7757cd911bf64929c5d73b01e39d425f9ee6c86f8b5969f4a34,03f456e8c3479654da4498b64c1aa80656a33561d52f3444f5930f5c4a410a6fb6,0.005185121699536119,2,2169000
17,0240412b9cd5fff35d961c2f706c350e296c1a6b04d2add8141cb22bbc8d221120,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,0.005127578263811259,2,100000
18,021d7477153209bf1c81060483b4c2519bde173a18cbb3b7b94fb552b79e127323,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0.005122468979123084,2,100000
19,0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,03c0441b4c8596b76aa002e4d4534ceae0b04a3b4c225078678447c53625a60cf7,0.005047694094995374,2,31000
20,02cc0690ceeccf834d695d31526a067cc4324062e6c19697248d111a50fb6e5967,03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5,0.005034912012612103,2,970181
21,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,03238e5f00ed7e8bc3ebddb7d18ca81d50c7f1f50a7158388d650f14514249c720,0.005032435439703939,2,51146
22,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,0366b4925b67feb6993e2cc735e0efb48dfe9a011e94b0d3ec7e56f0959dd65cc9,0.005022656358281126,2,100000
23,02d35ad6428b083d63575e3b0ce33e06c507910c131970b07dc194953b43a9794c,03dd80145ece2ff7d69114e2aa4b809c4e93135a869d5833c4b3d1b7b77294c5b8,0.0050182897324859985,2,200000
24,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,0295a224d52bf557582c2d8879c9f0f8c65161432ceea2ee42c80faf379f41b586,0.005007570682090152,2,400000
25,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03abbe5852b4bc77f1aedd62662748cff16bdd1cc023ecba0fc7998a9bdad68f81,0.0050055134487970694,2,1000000
26,0240412b9cd5fff35d961c2f706c350e296c1a6b04d2add8141cb22bbc8d221120,026b6c5dbd4da34c7991514cd04b1657cd9da218828769ba97bf3a75c4d2e4e874,0.004988181043870947,2,301677
27,02e588464f41b295e8c20fd1e1362437f40375cae6a8155cf20a9a9e2ec9b3b2e4,0350b55e93c1404720688c05e094b02c938fe10b9dc36274ef5af30c40becababd,0.004983682815060764,2,20000
28,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,036c71029834ef4bf454d2ed62066863a4d9a293bdd2341431824e81cb1d40a42a,0.004983043189925125,2,20000
29,02740cd09c60e9c02348e6fdd221d88d41cc5c52a64879d8c53553305905b16c16,03ab2157b6b046ad0f499d3b6552acedadeda7a09c6c3542df52efc2ac8d756b0f,0.0049789164304463365,2,300000
30,021d7477153209bf1c81060483b4c2519bde173a18cbb3b7b94fb552b79e127323,033da2da73624b756f7fd8def7db4d54858eeb621d19e02602272486483e1668bc,0.004974197288471247,2,50000
31,02c88a0df5e9ea7df582647f79b70b8e441047de308fd6b24408b8bd775f2234bd,03352f88f271b0f15b0d1d2e0660bac75254757132d1dfd06166daffff661f6a33,0.004967027756806039,2,100000
32,029f2dab31a96c45ebb750533fa552f4f1fb555b721cb07565565584d31ce67a34,03e81a5b8af31bc00a1c1c08419d3272b4982db02feafd739904df2edfcbdf6f7e,0.004963127173443582,2,500000
33,0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,039ed0b01f0dd48641e99f78cc282b8b1339ea87fa2571f7aebb37636553511909,0.0048114992607554115,2,3843066
34,023e6cb005e98137ec507aa64eb7f7049ccf246b4fca4d169f7c8ac8d3f856193c,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,0.004310247285127043,2,500000
35,0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,03817e6563dc36585b4510ff5fa50c0fe9a763ef14aa0bb8d10ead54c99c2da41d,0.004307495447608012,2,100000
36,021f0f2a5b46871b23f690a5be893f5b3ec37cf5a0fd8b89872234e984df35ea32,03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,0.003967959158145219,2,60000
37,03398603de59d47f16bed1232bcc3da6715745e6609e84b33548755322af391f23,03e81a5b8af31bc00a1c1c08419d3272b4982db02feafd739904df2edfcbdf6f7e,0.003908091595565071,2,500000
38,03b036004195f1f5010b8da057495d903c39351c27357c25c3e1f0efa086106e8c,03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,0.0038854189309632217,2,200000
39,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0370f6269ca41ac1808ccb11794ef727c91670f6a3c4f4b233d67b9e6e2fe2c5c0,0.003855287161588025,2,23162
40,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0391e755e11d6c399b85f4df22477d565ef920b47fce3141f471e84bcac624ab37,0.0038248831001842106,2,600000
41,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.0037974126324623924,2,306943
