node,fee,num_trans
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,15626.0,26
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,5587.0,37
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,1799.5,59
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,1740.0,29
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,1311.5,43
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,1067.5,35
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,1067.5,35
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,984.0,16
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,793.0,26
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,701.5,23
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,623.0,89
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,549.0,18
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,457.5,15
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,389.02000000000004,367
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,366.0,12
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,335.5,11
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,335.5,11
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,335.5,11
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,305.0,10
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,274.5,9
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,252.0,36
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,244.0,8
02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5,231.0,7
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,210.0,30
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,187.0,7
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,183.0,6
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,183.0,6
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,156.88,148
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,156.88,148
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,156.52,58
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,152.5,5
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,140.98000000000002,133
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,86.4,54
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,82.21499999999999,35
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,77.9,840
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,77.78900000000002,107
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,77.571,39
03b38f5fb693ae96fda9533c7ba45840c0afc4390544223a18dd676d858bfd5b15,75.0,3
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,72.902,1214
02efe789fcf1d791e9dfc9494b81a9aea7aa0c2a8744c66165d16dc47ce6b88b91,61.0,1
0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,50.0,2
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,45.580000000000005,43
03205b045b0126c0d3fb826a38b9befc4babf51689544908c704d8e51fdec75ffb,45.5,7
023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448,43.46,41
026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,41.44,112
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,40.28,38
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,40.256,38
02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,36.04,34
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,36.04,34
02d7644910e8a939e4eab67de96fe4fc7f88e52c9f8da79591c9e34db7266295fb,35.0,5
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,34.980000000000004,33
0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e,33.7,10
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,32.349999999999994,19
03beddc8adbf7d56a7da15cdaf95d97b24d07088c3571b421c0e6f9d551a210342,32.0,1
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,31.8,30
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,30.5,1
02690881543d633f3a16c8ff97397f3f2e8765a15f5ac057d701243e5adb7ba856,29.68,28
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,29.68,28
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,29.68,28
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,28.64,469
038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,27.78,15
0219c2f8818bd2124dcc41827b726fd486c13cdfb6edf4e1458194663fb07891c7,25.44,24
03957c801187ade4aaeee6ca1e3f23eeb7413a84558ff1f3543cb41f5f86da609a,24.080000000000002,28
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,23.26,46
03a5927b64b1ea8657d5b770d61a3e2d0554fdb5d568773e0d6a92907913ca21f6,21.987,21
0314ecd09f2c9887530ed99436a20dd62607fa0fa0a8d0e2f630cf27f86e91e5f9,21.0,3
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,20.32,127
022c699df736064b51a33017abfc4d577d133f7124ac117d3d9f9633b6297a3b6a,19.080000000000002,18
024a2e265cd66066b78a788ae615acdc84b5b0dec9efac36d7ac87513015eaf6ed,18.04,16
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,18.02,17
02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,16.96,16
029a8741675c4c9078b577ddc4348d602d2fb45a12e6087b617925997a84f4c02e,16.96,16
0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,16.9,215
027ba5217fecd12ebb621e51b88b8c9640cce659bd894f4c8e820e09173826fca2,16.073999999999998,4
03b2312fa65b43b9ebc6d824af6ac0ad2cee7a490fd3a79af25f7a77bdd6f25c42,15.9,15
02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,15.9,15
029d50d59c78b81a39f4ca40b6bc9b89710542a31429b69aa075b91b587979205d,15.9,15
02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86,15.9,15
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,15.006,123
021bbb8db00487ea8cc040533224f6bca1dae0b2aaf5489797eee16ebd2b6ad00b,14.84,14
03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5,14.84,14
0319fec13dcb6df5b6a0cee49e85b4f6c48e5387d62d67858d6d46615b6e683f81,14.84,14
026b105ac13212c48714c6be9b11577a9ce10f10e1c88a45ce217e6331209faf8b,14.4,9
03f38829a9b9131e3a0887ca21fd042f2d07bd7f151fffefcc3d1585f24c1b3e7e,14.0,2
039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400,13.780000000000001,13
0234c548106512a0b93b2555d2638bc2fed3e6b091f75298383356258996230d92,13.780000000000001,13
03012a23c769decc4fb40a92d5300692b576cb8dc887072580638b97911742554c,13.48,17
0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131,13.356,84
024b82d69859d63f9fce375041a34e61f4bfd445494b41d873ae7505322323d384,12.8,8
022f3bfa1de8491bad95ea018b17d47efbfe713cd2da59ad5fc380198612b8954a,12.72,12
021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f,12.72,12
03728053580578793c83d47f235b187f513dcddda4135e7764f53e40c6d2adea69,12.72,12
027c3abc90a51617fb9cf5162c2fedfd9832c620ef82b54e413e9ce0f892dabb0d,12.72,12
0332052748755d74b3395b91eaea78b53bd64b55eb031ccb6a7ae23ac445bb6af7,12.27,21
02740c62f38896511eb98479036b06907fcac283f62d08b756a1e25fb55e3f6772,11.66,11
03f456e8c3479654da4498b64c1aa80656a33561d52f3444f5930f5c4a410a6fb6,11.66,11
02b414e4e29a685b8699152be47a0420fa3c8ab59629d2da2d6c0a95c582636350,11.66,11
03efccf2c383d7bf340da9a3f02e2c23104a0e4fe8ac1a880c8e2dc92fbdacd9df,11.495,5
033613d280de1eba995c7545e93caf76cfba41bef88c2d6732a67ce06c168b3acb,11.200000000000001,7
03a46be38d068c2bc5af3fc13da840790ed5643f3d6d27e5e34d67ed2aec16ce67,11.200000000000001,7
02309f3556d51e9d855594762dcf68cb283fbfd7e48618b6cecb8cd90e2e34d8ad,10.600000000000001,10
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,10.600000000000001,10
0373ca948ffd4cbbd08488c480aa7c43b57e9446c8ac6d3fe1cc92392e39e9eb95,10.600000000000001,10
024844abb8efc3262539fffb66cbb46282324894212a13bb5b4c7cae96744e5a97,10.600000000000001,10
0384d130bfd760b6e9e1155963558367533552ef971563a72c6c5cb117af9db93d,10.600000000000001,10
02de4ba1b08b2895bde816f012d4b4a5fdd797dfdf6443c28db183ca4a83043835,10.600000000000001,10
03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0,10.600000000000001,10
03de5163824c2174f0f0094217dac8095800e5e421c4d70a236853523d820f3e77,10.600000000000001,10
023b7dba0075975778c820a56a157de5eed67e988e6c7edd723af73ad20e4463ed,10.600000000000001,10
02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6,10.600000000000001,10
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,10.358999999999998,18
024655b768ef40951b20053a5c4b951606d4d86085d51238f2c67c7dec29c792ca,9.600000000000001,6
03e81a5b8af31bc00a1c1c08419d3272b4982db02feafd739904df2edfcbdf6f7e,9.600000000000001,6
03649c72a4816f0cd546f84aafbd657e92a30ab474de7ab795e8b5650a427611f7,9.600000000000001,6
032271efcb35188ef00e3f28469a2bb18b50a5f2f325bd130bdac341af24e9b5f0,9.540000000000001,9
034cfb8dcb453372e8f13915cc770bcd7bb0f0809dd1b47c0c3b43b969ff9ff3b7,9.540000000000001,9
02c0b38022846c6b6f45b30031859ac7c5fb0c67ec8ed5cce8409c4b438c267ffe,9.540000000000001,9
0370cf2693c16b5dc1632ae69e4751a0a88fa8f5705d53cb4c9cf805e5ef57aa45,9.540000000000001,9
02a15d043069892b1f93bdf4bf0160447afd61f7f23548bf1c56d92fd9744281e6,9.540000000000001,9
02262bbc21c171bc91a1d6bbf89571c95873849b9a60d3ea9671b777d852d39ecd,9.540000000000001,9
0267586e510d80fab314fbfa091f383b775646e7a87bc9ed8cd59bcded50405d6a,9.540000000000001,9
032c6b30d84a7fe254537ec1c00f18775fc6dd1d1de1e305b5a980a4c0d6a8e35d,9.540000000000001,9
03f78684b49e125d73c1801b3529f7d663f08ae7e1dd5db416fe69d9cb47b1c50f,9.040000000000001,9
039d510570ab6e65fc8fb1f9ada5b63dc0f703a8d7dbde2fc11fb6f1e5810f6bbb,8.96,14
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,8.700000000000001,45
02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,8.6,2
023f5e3582716bed96f6f26cfcd8037e07474d7b4743afdc8b07e692df63464d7e,8.48,8
026c7d28784791a4b31a64eb34d9ab01552055b795919165e6ae886de637632efb,8.48,8
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,8.48,8
03ffbf7ef99f52555d40b3eee011dc6042541fa5f49629cbfb64f8c1730726b101,8.48,8
03f9ceb115a119594b4688ceed35feb80f33a3dd0f5cf688a7493c1a7217633931,8.48,8
021802799027508e8a8bf9a0ab96ea78a6a995926a0b1310561a74375a06e14de9,8.48,8
030a4f1cb85c463a4115b78900f0159192f033324c12c88aec931b16b27abe22ad,8.48,8
036a33e92cda2679ac91ac0467acb1ba33396c0df1119521653e0f269c275dd6bf,8.48,8
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,8.37,27
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,8.36,56
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,8.1,85
03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,8.1,135
02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,8.0,5
038d0543c2f838fc6229bd7b80df46d8bad9f30c874ee3ac4578c4ce6f57956f08,8.0,5
024bd94f0425590434538fd21d4e58982f7e9cfd8f339205a73deb9c0e0341f5bd,8.0,5
02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,7.625,125
027e8a9c0afcf99078d71b97fd53d53968ac376f9e1320337e352269c8bcc42b61,7.42,7
02a0bc43557fae6af7be8e3a29fdebda819e439bea9c0f8eb8ed6a0201f3471ca9,7.42,7
026d9b9c8e55b435f117496e6a885fba7bf76530a5aa6f8f61304f84f9a31dda09,7.42,7
0215f33968047401f191b2c3203ece6d5781ca7f2c018e7795d5e5ddc05c8b4ebd,7.42,7
03487fa0212243e20cb6504d5b93a144d0bc4d83d3d8a083691037a8892f9e5522,7.42,7
034a0fa8e6d83688f3e19c2bcb93fb9d6f366d6c937dbc3c744cb21db6e093958b,7.42,7
0251b2c9d22f3621f27188d8236db84d9fd84d42adac063b2633744638b81f34ac,7.42,7
032d4baebebfdeab7a2ecef2fbe109cbef10de95f05aa54090fdb687789547dbf5,7.42,7
03021c5f5f57322740e4ee6936452add19dc7ea7ccf90635f95119ab82a62ae268,7.42,7
032c4b954f0f171b694b5e8e8323589e54196b48cf2efc27692513a360cb11d76f,7.42,7
0223390bea8aa598442d056ace37c07e7364da1341b3681c371f6619b2879c0af2,7.42,7
02cb2677db78e50a6d178092bf8c9b1f0e7d4b9a2bed918bc3f276c89c1649ba5b,7.42,7
03e0114d95ad6e7bc8bb8602fc27d44105527252952ae2aac197883b661d7c8153,7.42,7
034143d1a45cb9bcb912eab97facf4a971098385c4701753d6bc40e52192d0c04f,7.32,12
023c1f3d0efc623da2829a41426b324245133f99840363435c2e98086de3494bb7,7.0,1
031a1d89bae752c071fcdac24ecc00059a4fbb583ed15003d09aa94c8fd6242af3,7.0,1
