u,v,channel_capacity_sat,unweighted_betweenness,fee_weighted_betweenness,baseline_usage,unweighted_betweenness_norm,fee_weighted_betweenness_norm,baseline_usage_norm,hybrid_score
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,4000000,0.0002011140216574804,0.02005064853523076,173,0.03587569736615199,0.7212394948872185,1.0,0.8606197474436093
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,2000000,0.00042857083936729667,0.025285599996542594,105,0.0764505508188021,0.9095453115834464,0.6069364161849711,0.7582408638842087
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,306943,0.005605856789482997,0.027800264235898667,38,1.0,1.0,0.21965317919075145,0.6098265895953757
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,0.0023898370885403718,0.011785453755138595,73,0.42631076359708,0.42393315599928577,0.42196531791907516,0.42294923695918046
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2678683,0.0014676451644755136,0.008493446505199388,88,0.26180568280462047,0.30551675455774063,0.5086705202312138,0.40709363739447724
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,550000,0.0004049470459095703,0.011858342689257034,39,0.07223642363987624,0.42655503518359644,0.2254335260115607,0.32599428059757857
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,2000000,9.908909448567193e-05,0.007909450106958602,60,0.017675994626115032,0.28450988954072876,0.3468208092485549,0.31566534939464186
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,300000,0.0003743859418471407,0.013895938093369977,16,0.06678478525343645,0.4998491372404317,0.09248554913294797,0.2961673431866898
02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab,03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c,3550000,2.9792718103838802e-05,0.0073577160224951865,32,0.0053145699618534934,0.2646635283773353,0.18497109826589594,0.22481731332161564
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,1000000,0.00367689396388982,0.011274697331945353,7,0.6559022290380206,0.4055607974181145,0.04046242774566474,0.22301161258188962
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,16000000,0.00011144807529626986,0.001392228219748039,68,0.01988064973499764,0.050079675787766266,0.3930635838150289,0.2215716298013976
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,5550000,4.551924601000056e-05,0.004428092333149069,48,0.008119944500793891,0.15928238291458552,0.2774566473988439,0.2183695151567147
02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,1000000,8.49370556296623e-06,0.005850710960110738,36,0.0015151485101975938,0.2104552284274937,0.20809248554913296,0.20927385698831333
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,300000,0.001642161955824107,0.00995516865245573,9,0.2929368368640677,0.3580961881506347,0.05202312138728324,0.205059654768959
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,1000000,3.9455663312426986e-05,0.007470355778828984,23,0.007038293127011153,0.2687152796620711,0.1329479768786127,0.2008316282703419
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,16777215,0.0012761550414169686,0.006580737275040055,27,0.22764674327948048,0.2367149182180184,0.15606936416184972,0.19639214118993406
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,1000000,0.0003226699073307927,0.005225736633707749,34,0.057559427478801335,0.18797435122791822,0.19653179190751446,0.19225307156771634
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,321710,8.351379098440676e-05,0.004354740883832179,39,0.01489759623204874,0.1566438666510541,0.2254335260115607,0.19103869633130738
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,319596,7.119943904989141e-05,0.0049988898064392325,34,0.012700902239148675,0.17981447097125547,0.19653179190751446,0.18817313143938497
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131,300000,0.00018247352794480048,0.006883229957408891,22,0.03255051543363261,0.2475958465358948,0.12716763005780346,0.18738173829684912
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,349575,0.00011893252663882229,0.0030127709790900036,46,0.021215762568524497,0.1083720267377744,0.2658959537572254,0.1871339902474999
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,300000,0.00173102932945452,0.008710349695355002,8,0.3087894312073864,0.31331895342589117,0.046242774566473986,0.17978086399618257
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,300000,0.0009886273714811062,0.006296187752364499,22,0.1763561590327895,0.2264794211644287,0.12716763005780346,0.17682352561111608
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,1200000,0.00029611143910854656,0.003734136942389964,36,0.05282179874164348,0.13432019604936157,0.20809248554913296,0.17120634079924726
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,2500000,0.00028227872973816086,0.0036489492890398895,36,0.0503542527643119,0.13125592109761233,0.20809248554913296,0.16967420332337263
02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131,3000000,0.000362114542780317,0.007233673084182709,13,0.06459575340199035,0.26020159458922765,0.07514450867052024,0.16767305162987395
023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,8000000,8.372152963034932e-05,0.0031313649355551964,38,0.014934653662115863,0.11263795584761543,0.21965317919075145,0.16614556751918344
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,16777215,0.0001190040349694697,0.0026674716516055753,40,0.021228518572349205,0.09595130567719753,0.23121387283236994,0.16358258925478375
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,500002,0.00042394019103634054,0.0026490526205278494,39,0.0756245132468749,0.09528875689991141,0.2254335260115607,0.16036114145573604
