transaction_id,original_cost,length,path
0,,-1,[]
1,1.12,3,"[np.str_('037fa3a69a4d93910c804dd9d05e45a57c139141d1e628d5512f3f31af7d697aa6'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda_trg']"
2,1.119,3,"[np.str_('035d400d26ad1739a98d3edbf224d7d40235c534a8f58f7cc7afefc639d3c84bfb'), '0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71_trg']"
3,0.06,2,"[np.str_('03a7fb52da76a723f7e3cd5d777c0372f1ae1217c82a60e15d12b74089b3d82724'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda_trg']"
4,,-1,[]
5,0.8960000000000001,6,"[np.str_('03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c'), '02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab', '02de367d7c2610a3f2d5b831ffdf6b5fe07b5b47a539b68b2976b5a807777d1456', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02e588464f41b295e8c20fd1e1362437f40375cae6a8155cf20a9a9e2ec9b3b2e4', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b', '02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79_trg']"
6,1.12,3,"[np.str_('038c4288a41c79e47f37efccb2a0e1deb3b48291a7813f0be12179f9e84a4c6d35'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '034c457d2377ba25c6408883c4bce95f83cb555ead61d28690d8e2944d69ff471b_trg']"
7,0.122,3,"[np.str_('0375e5cc9e6f791bda82c9897faffbdc74aacd5df7c87496f91dcf6a72eb9a87e6'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
8,1.06,2,"[np.str_('0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2'), '030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f', '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643_trg']"
9,,-1,[]
9,,-1,[]
10,0.0,1,"[np.str_('0394396e6e8cf8d9f91de4269dfd2e8416b93b91cae6139057c7283b463e4bfa31'), '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde_trg']"
11,,-1,[]
12,1.12,3,"[np.str_('02ccdd849caefdd2ef8360f10813ed8247a4d063fcfffc39623403885c9dfa39e5'), '031d244a60d61936834f290656cdf0ed4b9979260c19b07804bde681819f8e14ca', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
13,,-1,[]
14,0.12,3,"[np.str_('02c1ac5cee87e4f40f24ea4560ab0e63f398ef5fb630cf50a0e2f638ce51e3169e'), '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1_trg']"
15,0.06,2,"[np.str_('02ec4882d8a0b54f20b46c37f4a166f22a52e19da52e2ec1e1d792c4106804bdcd'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d_trg']"
16,1.06,2,"[np.str_('0251325d14723f7c44d109acad89e65f5285d487d9ec95a7d9ff667b48ad1b3efa'), '0216006237022044d9bdb73ca51af267c5f67cf76095b4c6275f1162eb422fed68', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
17,0.06,2,"[np.str_('03880f6bf12094a56fe42f74d0c7f043d15435301083b1c7edab352e2676d0b52b'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5_trg']"
18,0.121,3,"[np.str_('033cfe09030dff97391e08cd08c77834efcb44b706bee7ac7d0866b02ed67f356a'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0249c30c3aedc95d87e430f4b6c076049714c5b7ea536d4e4e1863c5ec8f73821c_trg']"
19,8.06,4,"[np.str_('03a8334aba5660e241468e2f0deb2526bfd50d0e3fe808d882913e39094dc1a028'), '02fcc4b0a87749b022f05568d5ef893b7893bcbaa99276bbbb55d9e9abc1bdced0', '0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955', '03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f', '03dbc7f1c2c67a384502012735caea20c6f02078be27d73517096f3f42d12a8392_trg']"
20,1.7400000000000002,5,"[np.str_('02b414e4e29a685b8699152be47a0420fa3c8ab59629d2da2d6c0a95c582636350'), '020b939e5146cf4ead29e64e9dfe765277ad9c623d80160a2aca204f3ccd550567', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03dd047b5d1d6398983a8639823bc7b895ace8798af4fdc698f8c818a177cd3692_trg']"
