node,fee,num_trans
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,12020.0,20
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,4832.0,32
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,2100.0,35
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,1677.5,55
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,1616.5,53
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,1098.0,36
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,984.0,16
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,714.0,102
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,640.5,21
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,640.5,21
03ba4e2c8b5ae8455d4e28646b74db5792611af8ae032290c1960ee65b46b059d3,600.1,1
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,549.0,18
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,518.5,17
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,457.5,15
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,427.0,14
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,418.70000000000005,395
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,335.5,11
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,335.5,11
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,315.0,45
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,305.0,10
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,244.0,8
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,244.0,8
03537fe9ed61f81500793ab65f88ed2486e98592783faa5cdef14feb2fe632164b,241.0,1
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,213.5,7
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,213.5,7
02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5,198.0,6
02efe789fcf1d791e9dfc9494b81a9aea7aa0c2a8744c66165d16dc47ce6b88b91,183.0,3
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,183.0,6
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,161.0,23
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,160.76,62
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,152.5,5
02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003,150.3,6
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,145.22,137
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,144.16,136
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,136.74,129
03b38f5fb693ae96fda9533c7ba45840c0afc4390544223a18dd676d858bfd5b15,125.0,5
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,122.0,4
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,100.32600000000001,138
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,83.65899999999999,36
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,73.59299999999999,37
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,72.0,45
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,69.64,819
026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,63.92,170
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,61.0,2
02da0713ab1b12eeb01f212944a435077f39f1b767ee5c24b01cdb4b0b9377b66b,61.0,1
023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448,51.940000000000005,49
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,51.940000000000005,49
038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,50.9,20
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,47.928999999999995,798
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,45.92,287
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,45.580000000000005,43
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,44.52,42
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,42.400000000000006,40
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,42.129999999999995,25
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,39.440000000000005,74
03205b045b0126c0d3fb826a38b9befc4babf51689544908c704d8e51fdec75ffb,39.0,6
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,36.019,34
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,34.324999999999996,59
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,31.8,30
02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,30.740000000000002,29
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,28.62,27
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,28.62,27
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,28.22,437
027ba5217fecd12ebb621e51b88b8c9640cce659bd894f4c8e820e09173826fca2,28.0,4
0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e,26.96,8
030a4f1cb85c463a4115b78900f0159192f033324c12c88aec931b16b27abe22ad,25.44,24
03b2312fa65b43b9ebc6d824af6ac0ad2cee7a490fd3a79af25f7a77bdd6f25c42,25.44,24
03957c801187ade4aaeee6ca1e3f23eeb7413a84558ff1f3543cb41f5f86da609a,24.94,29
02690881543d633f3a16c8ff97397f3f2e8765a15f5ac057d701243e5adb7ba856,24.380000000000003,23
03a5927b64b1ea8657d5b770d61a3e2d0554fdb5d568773e0d6a92907913ca21f6,24.081,23
