node,fee,num_trans
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,13222.0,22
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,5587.0,37
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,2160.0,36
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,1982.5,65
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,1586.0,52
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,1037.0,34
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,799.5,13
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,749.0,107
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,671.0,22
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,640.5,21
03ba4e2c8b5ae8455d4e28646b74db5792611af8ae032290c1960ee65b46b059d3,600.1,1
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,518.5,17
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,457.5,15
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,457.5,15
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,413.40000000000003,390
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,396.5,13
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,396.5,13
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,366.0,12
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,336.0,48
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,335.5,11
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,305.0,10
03537fe9ed61f81500793ab65f88ed2486e98592783faa5cdef14feb2fe632164b,241.0,1
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,213.5,7
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,213.5,7
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,210.0,30
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,189.82,67
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,184.44,174
02efe789fcf1d791e9dfc9494b81a9aea7aa0c2a8744c66165d16dc47ce6b88b91,183.0,3
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,183.0,6
02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5,165.0,5
02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003,147.12,3
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,134.62,127
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,122.0,4
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,122.0,4
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,114.48,108
03b38f5fb693ae96fda9533c7ba45840c0afc4390544223a18dd676d858bfd5b15,100.0,4
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,83.538,42
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,82.15100000000001,113
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,78.4,49
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,72.7,820
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,63.422999999999995,27
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,61.0,2
02da0713ab1b12eeb01f212944a435077f39f1b767ee5c24b01cdb4b0b9377b66b,61.0,1
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,60.10000000000001,110
026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,55.5,150
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,52.7765,879
023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448,51.940000000000005,49
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,50.88,48
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,46.64,44
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,38.87,23
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,37.073,35
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,34.980000000000004,33
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,34.980000000000004,33
03a5927b64b1ea8657d5b770d61a3e2d0554fdb5d568773e0d6a92907913ca21f6,34.550999999999995,33
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,33.92,32
038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,33.72,15
03beddc8adbf7d56a7da15cdaf95d97b24d07088c3571b421c0e6f9d551a210342,33.05,2
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,30.560000000000002,191
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,29.68,28
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,28.62,27
027ba5217fecd12ebb621e51b88b8c9640cce659bd894f4c8e820e09173826fca2,28.0,4
0219c2f8818bd2124dcc41827b726fd486c13cdfb6edf4e1458194663fb07891c7,26.5,25
03205b045b0126c0d3fb826a38b9befc4babf51689544908c704d8e51fdec75ffb,26.0,4
02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,24.380000000000003,23
03649c72a4816f0cd546f84aafbd657e92a30ab474de7ab795e8b5650a427611f7,22.400000000000002,14
03957c801187ade4aaeee6ca1e3f23eeb7413a84558ff1f3543cb41f5f86da609a,22.360000000000003,26
029a8741675c4c9078b577ddc4348d602d2fb45a12e6087b617925997a84f4c02e,22.26,21
02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815,21.0,3
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,20.38,323
02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,20.14,19
022c699df736064b51a33017abfc4d577d133f7124ac117d3d9f9633b6297a3b6a,20.14,19
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,19.555999999999997,32
02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6,19.080000000000002,18
0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,17.76,196
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,17.08,140
024a2e265cd66066b78a788ae615acdc84b5b0dec9efac36d7ac87513015eaf6ed,16.98,15
0234c548106512a0b93b2555d2638bc2fed3e6b091f75298383356258996230d92,16.96,15
02690881543d633f3a16c8ff97397f3f2e8765a15f5ac057d701243e5adb7ba856,16.96,16
0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e,16.85,5
03012a23c769decc4fb40a92d5300692b576cb8dc887072580638b97911742554c,15.955,17
02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,15.9,15
027c3abc90a51617fb9cf5162c2fedfd9832c620ef82b54e413e9ce0f892dabb0d,15.9,15
039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400,15.9,15
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,15.7,145
02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,15.6,3
029d50d59c78b81a39f4ca40b6bc9b89710542a31429b69aa075b91b587979205d,14.84,14
031d2bbc75802689312220a017c6b51fa246efc59c7aa9355f6f7395038ffb4d6a,14.26,201
034143d1a45cb9bcb912eab97facf4a971098385c4701753d6bc40e52192d0c04f,14.03,23
026ab14e3bff403919f6150ef1973e60a6ae855213da9943a83578202c980e2e66,14.0,2
0348e881b4474d71c1f0825f54e3d99e487ece8a41f3fbf1c4de469833ab27206c,14.0,2
0314ecd09f2c9887530ed99436a20dd62607fa0fa0a8d0e2f630cf27f86e91e5f9,14.0,2
03b2312fa65b43b9ebc6d824af6ac0ad2cee7a490fd3a79af25f7a77bdd6f25c42,13.780000000000001,13
032c6b30d84a7fe254537ec1c00f18775fc6dd1d1de1e305b5a980a4c0d6a8e35d,13.780000000000001,13
0251b2c9d22f3621f27188d8236db84d9fd84d42adac063b2633744638b81f34ac,13.780000000000001,13
023f5e3582716bed96f6f26cfcd8037e07474d7b4743afdc8b07e692df63464d7e,13.780000000000001,13
0373ca948ffd4cbbd08488c480aa7c43b57e9446c8ac6d3fe1cc92392e39e9eb95,13.780000000000001,13
026b105ac13212c48714c6be9b11577a9ce10f10e1c88a45ce217e6331209faf8b,12.8,8
033613d280de1eba995c7545e93caf76cfba41bef88c2d6732a67ce06c168b3acb,12.8,8
0319fec13dcb6df5b6a0cee49e85b4f6c48e5387d62d67858d6d46615b6e683f81,12.72,12
02740c62f38896511eb98479036b06907fcac283f62d08b756a1e25fb55e3f6772,12.72,12
02b414e4e29a685b8699152be47a0420fa3c8ab59629d2da2d6c0a95c582636350,12.72,12
0223390bea8aa598442d056ace37c07e7364da1341b3681c371f6619b2879c0af2,11.66,11
02309f3556d51e9d855594762dcf68cb283fbfd7e48618b6cecb8cd90e2e34d8ad,11.66,11
