rank,selector,u,v,channel_capacity_sat,unweighted_betweenness,fee_weighted_betweenness,baseline_usage,unweighted_betweenness_norm,fee_weighted_betweenness_norm,baseline_usage_norm,hybrid_score
1,baseline_usage,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,4000000,0.0002011140216574804,0.02005064853523076,173,0.03587569736615199,0.7212394948872185,1.0,0.8606197474436093
2,baseline_usage,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,2000000,0.00042857083936729667,0.025285599996542594,105,0.0764505508188021,0.9095453115834464,0.6069364161849711,0.7582408638842087
3,baseline_usage,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2678683,0.0014676451644755136,0.008493446505199388,88,0.26180568280462047,0.30551675455774063,0.5086705202312138,0.40709363739447724
4,baseline_usage,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,0.0023898370885403718,0.011785453755138595,73,0.42631076359708,0.42393315599928577,0.42196531791907516,0.42294923695918046
5,baseline_usage,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,16000000,0.00011144807529626986,0.001392228219748039,68,0.01988064973499764,0.050079675787766266,0.3930635838150289,0.2215716298013976
6,baseline_usage,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,2000000,9.908909448567193e-05,0.007909450106958602,60,0.017675994626115032,0.28450988954072876,0.3468208092485549,0.31566534939464186
7,baseline_usage,02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,0.00014885079594274196,0.0006907765376805925,51,0.02655272896410716,0.0248478407190313,0.2947976878612717,0.1598227642901515
8,baseline_usage,0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,5550000,4.551924601000056e-05,0.004428092333149069,48,0.008119944500793891,0.15928238291458552,0.2774566473988439,0.2183695151567147
9,baseline_usage,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,349575,0.00011893252663882229,0.0030127709790900036,46,0.021215762568524497,0.1083720267377744,0.2658959537572254,0.1871339902474999
10,baseline_usage,023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,4.625179891238135e-05,0.001438717215840659,46,0.008250620850527817,0.05175192593971226,0.2658959537572254,0.15882393984846882
