rank,selector,u,v,channel_capacity_sat,unweighted_betweenness,fee_weighted_betweenness,baseline_usage,unweighted_betweenness_norm,fee_weighted_betweenness_norm,baseline_usage_norm,hybrid_score
1,unweighted_betweenness,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,306943,0.005605856789482997,0.027800264235898667,38,1.0,1.0,0.21965317919075145,0.6098265895953757
2,unweighted_betweenness,03537fe9ed61f81500793ab65f88ed2486e98592783faa5cdef14feb2fe632164b,03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,141242,0.004384841239676358,3.6240090600226505e-05,0,0.7821893074226665,0.0013035879908446853,0.0,0.0006517939954223427
3,unweighted_betweenness,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,10000002,0.004206601952769087,0.0005235812256197311,0,0.7503941164999048,0.018833678024672413,0.0,0.009416839012336206
4,unweighted_betweenness,028c1f8d907879ee8691ddab3547e93c5ec2098cc0f38cc39c4ee989cb3a10ae71,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,400000,0.003997051036818408,0.0039750849377123455,2,0.7130134048941764,0.14298730774577645,0.011560693641618497,0.07727400069369747
5,unweighted_betweenness,033ec518c6ad5b565a89215d9f59c9d6dd2ca3d757b4c8fc4ea28eeeb0996ff837,03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0,763978,0.003977142326687799,0.004002258414376192,5,0.7094619923486473,0.14396476164453317,0.028901734104046242,0.08643324787428971
6,unweighted_betweenness,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,1000000,0.00367689396388982,0.011274697331945353,7,0.6559022290380206,0.4055607974181145,0.04046242774566474,0.22301161258188962
7,unweighted_betweenness,02466ebef568d1cb84430ca695e1488928a64672cd891d2581638966f14d6ef78c,03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,270600,0.0034619642299865633,0.003958852397130993,3,0.6175620177242959,0.14240340895821055,0.017341040462427744,0.07987222471031914
8,unweighted_betweenness,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,5000000,0.0030101118241130527,0.0002635963256574808,3,0.5369583878347098,0.009481792094518911,0.017341040462427744,0.013411416278473327
9,unweighted_betweenness,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,15000000,0.0029785089227865862,0.0008021895054737638,1,0.5313209085851942,0.028855463339009964,0.005780346820809248,0.017317905079909605
10,unweighted_betweenness,02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,15000000,0.0028670895474477813,0.00011551528878822198,0,0.5114453784882007,0.004155186720817434,0.0,0.002077593360408717
11,unweighted_betweenness,034a6cbcc24be5ff1a3777e047933898ec6557ece040982cade99a47026c7f86e2,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,300000,0.002617877963518283,0.0021241085589663302,3,0.46698980402596374,0.07640605646558764,0.017341040462427744,0.046873548464007694
12,unweighted_betweenness,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,5000001,0.0025705291171635677,0.00018271045677614197,0,0.4585434865168284,0.0065722561205086225,0.0,0.0032861280602543112
13,unweighted_betweenness,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,2477850,0.0025406537947334894,0.0005473404159700878,0,0.4532141811934875,0.019688317036328867,0.0,0.009844158518164434
14,unweighted_betweenness,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,5000000,0.0025301475696255797,0.0005005662514156286,0,0.4513400296583252,0.018005809123542216,0.0,0.009002904561771108
15,unweighted_betweenness,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,9000000,0.002428586996945494,0.0003599963584928235,2,0.43322316073105954,0.01294938621583164,0.011560693641618497,0.012255039928725068
16,unweighted_betweenness,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,0.0023898370885403718,0.011785453755138595,73,0.42631076359708,0.42393315599928577,0.42196531791907516,0.42294923695918046
17,unweighted_betweenness,0372d0986edbdc5c3c6b5e94ee3c56aff6739a1f8b8d24f6c74c65b7d3dec53cde,03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,9000000,0.0022801141013401214,2.1895054737636844e-05,1,0.40673784346717246,0.0007875844111353307,0.005780346820809248,0.0032839656159722895
18,unweighted_betweenness,02949f9824f7f8f51298e79aeeca2b20f06d2b16702b47b469b486a6760cf2d7f6,0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,500000,0.002249150622876559,0.002249150622876558,1,0.401214427577981,0.08090392968179831,0.005780346820809248,0.04334213825130378
19,unweighted_betweenness,024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,03bd45e49b079dc69f0402ec3004711276a372413bd483fa39e3ff4e3e810b197d,299597,0.0022491506228765586,0.0022491506228765577,3,0.4012144275779809,0.0809039296817983,0.017341040462427744,0.04912248507211302
20,unweighted_betweenness,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,03c74a084d4df04fcaad526febbb2e52d491d79e88ad4f2d61504ccd140cfe6890,300000,0.002249150622876558,0.0022491506228765577,0,0.4012144275779808,0.0809039296817983,0.0,0.04045196484089915
21,unweighted_betweenness,026b105ac13212c48714c6be9b11577a9ce10f10e1c88a45ce217e6331209faf8b,02e6ba786f66bda57307db13a1d9899753c1bce4d9a17fc623ed283467f50bfe92,500000,0.0022491506228765577,0.002249150622876558,3,0.40121442757798076,0.08090392968179831,0.017341040462427744,0.04912248507211303
22,unweighted_betweenness,0290cc884704073b2b633f69f852e8ca2a37660bb359a1e861f2b48760c298ac53,02dcc0d8bcbe63c036738ee503eb7a3c00747da380123b698773062035426a9bcd,221802,0.0022491506228765577,0.0022491506228765577,1,0.40121442757798076,0.0809039296817983,0.005780346820809248,0.04334213825130377
23,unweighted_betweenness,020cc6c7b5e03046a6795f64414b97f01e1b21f2eaa828823d073c11810f03ca46,03537fe9ed61f81500793ab65f88ed2486e98592783faa5cdef14feb2fe632164b,235157,0.0022491506228765577,0.0022491506228765573,0,0.40121442757798076,0.08090392968179828,0.0,0.04045196484089914
24,unweighted_betweenness,0250f64187d3552ce31728b88862ded7604345b81bfd6ea897d5821e28f0063228,03a8334aba5660e241468e2f0deb2526bfd50d0e3fe808d882913e39094dc1a028,400000,0.0022491506228765577,0.0022491506228765573,0,0.40121442757798076,0.08090392968179828,0.0,0.04045196484089914
25,unweighted_betweenness,027c3abc90a51617fb9cf5162c2fedfd9832c620ef82b54e413e9ce0f892dabb0d,035467fbac7f7755bb90363bac31772aa70f2045b95b6f28e7f8d893ad6e08644b,750000,0.0022491506228765573,0.0022491506228765573,6,0.40121442757798065,0.08090392968179828,0.03468208092485549,0.057793005303326886
26,unweighted_betweenness,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0361ce04fbf96019e87864b269af8c66395730f7c93bdc23f34a5b68102d8f516c,500000,0.0022491506228765573,0.0022491506228765573,5,0.40121442757798065,0.08090392968179828,0.028901734104046242,0.05490283189292226
27,unweighted_betweenness,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,03a46347ced3bb8ec782572db7f32a2ea5d6a14ec4b6167ba0411975e3f863c434,260000,0.0022491506228765573,0.0022491506228765564,5,0.40121442757798065,0.08090392968179824,0.028901734104046242,0.05490283189292224
28,unweighted_betweenness,031d96320ae2ef9673e889b71191ebb51624050a4bfe8d1795adac79b1d482dc9c,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,200000,0.0022491506228765573,0.0022491506228765573,4,0.40121442757798065,0.08090392968179828,0.023121387283236993,0.05201265848251764
29,unweighted_betweenness,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03411e912a306fafdf06d4cd5a61f8b0f977baa23053b1db5e853377ed59316567,2000000,0.0022491506228765573,0.0022491506228765573,4,0.40121442757798065,0.08090392968179828,0.023121387283236993,0.05201265848251764
30,unweighted_betweenness,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,03000afb0c886d27e9fdfe4f135913e52cd0b5e43c15eec4a4d7ed79238355357c,500000,0.0022491506228765573,0.0022491506228765564,4,0.40121442757798065,0.08090392968179824,0.023121387283236993,0.05201265848251762
31,unweighted_betweenness,0263824afadb0f50603d7fda6325f285a889b60371416cd37ebddb48aacf2b37bf,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,500000,0.0022491506228765573,0.0022491506228765573,3,0.40121442757798065,0.08090392968179828,0.017341040462427744,0.04912248507211302
32,unweighted_betweenness,02f6ac183955fe9725d526a8093d6c3d8c468f5ad84535597f11b7de68c195a0d8,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,2000000,0.0022491506228765573,0.0022491506228765573,3,0.40121442757798065,0.08090392968179828,0.017341040462427744,0.04912248507211302
33,unweighted_betweenness,031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,032eb5d7ebd31bcaa7c088b9336a947cc953f1a5a55547b2a432c99f021f31a1c7,333333,0.0022491506228765573,0.0022491506228765573,3,0.40121442757798065,0.08090392968179828,0.017341040462427744,0.04912248507211302
34,unweighted_betweenness,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03b5f12dfc8d64b0924f2a5a1499931cb66975d97f1743c94e8299ca2b1dc018cb,500000,0.0022491506228765573,0.0022491506228765573,3,0.40121442757798065,0.08090392968179828,0.017341040462427744,0.04912248507211302
35,unweighted_betweenness,02cd0d956addce4e16f5325b81d70dfa31c06b80801aa993525e866b8c460ee640,030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,1000000,0.0022491506228765573,0.0022491506228765577,2,0.40121442757798065,0.0809039296817983,0.011560693641618497,0.046232311661708395
36,unweighted_betweenness,02593d90d96cd81a353c65e854e7432a722b29387e1282e1907606c563ab8bced5,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,1000000,0.0022491506228765573,0.0022491506228765573,2,0.40121442757798065,0.08090392968179828,0.011560693641618497,0.04623231166170839
37,unweighted_betweenness,02b536fe1c2b50b6ab6b7074826a59dd3bbf93612594a33d4440c4f4f7095640a2,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,1000000,0.0022491506228765573,0.0022491506228765573,2,0.40121442757798065,0.08090392968179828,0.011560693641618497,0.04623231166170839
