u,v,channel_capacity_sat,unweighted_betweenness,fee_weighted_betweenness,baseline_usage,unweighted_betweenness_norm,fee_weighted_betweenness_norm,baseline_usage_norm,hybrid_score
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,306943,0.005605856789482997,0.027800264235898667,38,1.0,1.0,0.21965317919075145,0.6098265895953757
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,2000000,0.00042857083936729667,0.025285599996542594,105,0.0764505508188021,0.9095453115834464,0.6069364161849711,0.7582408638842087
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,4000000,0.0002011140216574804,0.02005064853523076,173,0.03587569736615199,0.7212394948872185,1.0,0.8606197474436093
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,300000,0.0003743859418471407,0.013895938093369977,16,0.06678478525343645,0.4998491372404317,0.09248554913294797,0.2961673431866898
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,550000,0.0004049470459095703,0.011858342689257034,39,0.07223642363987624,0.42655503518359644,0.2254335260115607,0.32599428059757857
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,0.0023898370885403718,0.011785453755138595,73,0.42631076359708,0.42393315599928577,0.42196531791907516,0.42294923695918046
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,1000000,0.00367689396388982,0.011274697331945353,7,0.6559022290380206,0.4055607974181145,0.04046242774566474,0.22301161258188962
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,300000,0.001642161955824107,0.00995516865245573,9,0.2929368368640677,0.3580961881506347,0.05202312138728324,0.205059654768959
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,300000,0.00173102932945452,0.008710349695355002,8,0.3087894312073864,0.31331895342589117,0.046242774566473986,0.17978086399618257
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2678683,0.0014676451644755136,0.008493446505199388,88,0.26180568280462047,0.30551675455774063,0.5086705202312138,0.40709363739447724
