node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,10217.0,17,0.7058823529411765,0.0,0.0
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,3775.0,25,0.88,0.0,0.0
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,2580.0,43,0.7906976744186046,0.0,0.0
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,1464.0,48,0.0,0.0,0.0
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,1342.0,44,0.22727272727272727,0.0,0.0
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,945.5,31,0.25806451612903225,0.0,0.0
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,915.0,30,0.36666666666666664,0.0,0.0
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,812.0,116,0.8793103448275862,0.0,0.0
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,676.5,11,0.9090909090909091,0.0,0.0
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,671.0,22,0.4090909090909091,0.0,0.0
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,427.0,14,0.7142857142857143,0.0,0.0
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,401.74,379,0.3403693931398417,599.21,78233.63
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,396.5,13,0.6923076923076923,0.0,0.0
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,396.5,13,0.0,28.44,16.08000000000004
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,366.0,12,0.5,0.0,0.0
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,366.0,12,0.6666666666666666,0.0,0.0
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,350.0,50,0.34,144.0,3274.0
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,335.5,11,0.8181818181818182,0.0,0.0
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,305.0,10,0.0,0.0,0.0
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,305.0,10,0.2,0.0,0.0
02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003,292.12,4,0.25,0.0,0.0
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,244.0,8,0.625,0.0,0.0
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,244.0,8,0.625,0.0,0.0
03537fe9ed61f81500793ab65f88ed2486e98592783faa5cdef14feb2fe632164b,241.0,1,1.0,0.0,0.0
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,213.5,7,0.42857142857142855,0.0,0.0
02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5,195.25,6,0.8333333333333334,0.0,0.0
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,183.0,6,0.16666666666666666,0.0,0.0
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,174.34,58,0.3620689655172414,23.5,559.26
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,168.0,24,0.2916666666666667,22.26,387.94000000000005
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,163.24,154,0.07142857142857142,28.32,365.59999999999997
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,140.98000000000002,133,0.07518796992481203,0.0,0.0
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,139.92000000000002,132,0.13636363636363635,600.0,11280.22
03beddc8adbf7d56a7da15cdaf95d97b24d07088c3571b421c0e6f9d551a210342,101.25,8,0.25,0.0,0.0
03b38f5fb693ae96fda9533c7ba45840c0afc4390544223a18dd676d858bfd5b15,100.0,4,0.0,120.06,45.06
02da0713ab1b12eeb01f212944a435077f39f1b767ee5c24b01cdb4b0b9377b66b,93.0,2,0.5,0.0,0.0
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,91.5,3,0.0,0.0,0.0
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,91.5,3,0.0,0.0,0.0
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,91.5,3,0.3333333333333333,0.0,0.0
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,90.87500000000001,125,0.12,59.15,1286.2959999999998
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,87.62,852,0.011737089201877934,24.88,715.46
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,83.2,52,0.46153846153846156,0.0,0.0
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,78.2135,1302,0.021505376344086023,28.32,1567.8365
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,63.647999999999996,32,0.15625,58.01,356.345
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,61.07399999999999,26,0.34615384615384615,57.65,778.912
02efe789fcf1d791e9dfc9494b81a9aea7aa0c2a8744c66165d16dc47ce6b88b91,61.0,1,1.0,0.0,0.0
023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448,47.7,45,0.044444444444444446,59.44,254.79999999999998
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,43.46,41,0.17073170731707318,60.32,447.58
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,41.316,39,0.23076923076923078,29.26,322.51700000000005
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,40.5,24,0.041666666666666664,0.0,0.0
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,40.28,38,0.23684210526315788,28.73,436.36
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,37.1,35,0.02857142857142857,29.38,84.66
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,36.160000000000004,226,0.01327433628318584,0.0,0.0
026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,35.519999999999996,96,0.010416666666666666,59.51,84.24000000000001
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,35.12,502,0.00796812749003984,28.32,191.92
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,34.980000000000004,33,0.2727272727272727,0.0,0.0
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,32.86,31,0.06451612903225806,0.0,0.0
